Number of processors,Seconds taken
1,14.3310990334
2,10.2929868698
4,7.24206185341
6,6.4446709156
8,6.68359279633
10,6.45344209671
12,6.23216295242
14,6.29094409943
16,8.97665095329
18,9.3981719017
20,6.37690186501
