Number of processors,Seconds taken
1,232.580445051
2,119.3387568
4,61.7273600101
6,45.506652832
8,33.8235938549
10,28.165594101
12,27.8234038353
14,21.6278548241
16,19.5900189877
18,18.171391964
20,17.1671929359
