Number of processors,Seconds taken
1,3.87249803543
2,2.55383110046
3,2.09538078308
4,1.83825397491
5,1.70759797096
6,1.56594705582
7,1.56595516205
8,1.52781605721
9,1.62619495392
10,1.59788298607
