Number of processors,Seconds taken
1,37.1925840378
2,19.2100138664
4,10.0958709717
6,7.10130786896
8,5.68425798416
10,4.99454903603
12,4.2736389637
14,4.06026792526
16,3.5381128788
18,3.57363200188
20,3.19762420654
