Number of processors,Seconds taken
1,14.3904521465
2,10.229418993
4,7.87876105309
6,6.80478405952
8,6.435338974
10,6.26437687874
12,6.4972679615
14,6.08136081696
16,6.22189307213
18,5.91900014877
20,5.95569896698
