Number of processors,Seconds taken
1,150.515305996
2,76.0033900738
4,38.8724181652
6,26.7876899242
8,20.8027620316
10,16.9322309494
12,14.2210421562
14,12.0499529839
16,10.8715441227
18,12.8006620407
20,9.45934605598
