Number of processors,Seconds taken
1,941.680504799
2,487.760092974
4,249.109544992
6,163.925523043
8,125.432888985
10,102.136162043
12,86.8359379768
14,77.90792799
16,70.4786300659
18,61.9173588753
20,58.7681860924
