Number of processors,Seconds taken
1,150.265853882
2,75.8047959805
4,38.4365429878
6,25.9367990494
8,19.8334248066
10,16.3285160065
12,13.6918210983
14,11.8160088062
16,10.8576550484
18,9.84708404541
20,8.71567702293
