Number of processors,Seconds taken
1,233.716207981
2,126.590445042
4,65.1423459053
6,46.2796499729
8,36.3869869709
10,31.6282758713
12,27.2515890598
14,25.2940239906
16,24.7218539715
18,23.2203140259
20,24.8131489754
