Number of processors,Seconds taken
1,232.924165964
2,119.485284805
4,62.240432024
6,43.2026360035
8,33.8779578209
10,28.9868159294
12,24.6945748329
14,22.244300127
16,19.7410140038
18,18.3354308605
20,19.9975140095
