Number of processors,Seconds taken
1,0.98018693924
2,0.651909828186
3,0.54390501976
4,0.514847993851
5,0.464359998703
6,0.471966028214
7,0.431401968002
8,0.436212062836
9,0.471575975418
10,0.52040886879
