Number of processors,Seconds taken
1,9.40672397614
2,4.97895693779
4,2.77462911606
6,2.18822216988
8,1.9530069828
10,1.72188687325
12,1.57074189186
14,1.31492686272
16,1.26007509232
18,1.27017402649
20,1.48572802544
