Number of processors,Seconds taken
1,150.174058914
2,75.8318600655
4,38.5359201431
6,26.1176710129
8,19.8757228851
10,16.2853019238
12,13.7047498226
14,12.0125510693
16,13.8349871635
18,9.82486176491
20,8.97960209846
