Number of processors,Seconds taken
1,939.761399031
2,473.694306135
4,239.452085018
6,161.304947853
8,122.075973034
10,102.165607929
12,84.091299057
14,76.6578299999
16,65.2845239639
18,58.6029140949
20,56.8058860302
