Number of processors,Seconds taken
1,252.283326149
2,126.824381828
3,85.3488280773
4,64.1728508472
5,51.663793087
6,43.3912451267
7,37.4155600071
8,32.8554780483
9,35.3860838413
10,33.7554149628
