Number of processors,Seconds taken
1,0.653161048889
2,0.669720888138
4,0.535836935043
6,0.746062994003
8,0.75187087059
10,0.539968967438
12,0.711776018143
14,0.807988882065
16,0.867166996002
18,0.792749166489
20,0.606116056442
