Number of processors,Seconds taken
1,2.35900998116
2,1.9197371006
4,1.99823784828
6,1.95646619797
8,1.98556494713
10,1.85362100601
12,2.04709601402
14,1.48144292831
16,1.4603869915
18,1.72113800049
20,1.74527406693
