Number of processors,Seconds taken
1,940.61006093
2,475.309605122
4,239.795260906
6,160.99304986
8,121.980195999
10,98.5028738976
12,85.4552960396
14,71.685972929
16,67.8330600262
18,58.260283947
20,53.2272310257
